哪些案件与xx有关,0
跟xx有关联的案件有哪些,0
xx参与了那些案件,0
xx年xx法院一共审理了多少案子,1
xx年一共有多少案子在xx法院被判罚,1
xx法院在xx年一共判罚了多少案子,1
xx地区一共判决了多少数量的xx毒品,2
有多少xx毒品在xx地区被判决,2
xx毒品在xx地区一共被判决了多少,2
xx地区判决xx毒品的总量,2
xx地区判决xx毒品的均价,3
xx毒品在xx地区被判决的价格是多少,3
xx地区未成年犯案占总犯案的百分之几,4
xx地区犯案有几成是未成年犯案,4
xx地区未成年犯案的比例,4
xx地区团队犯案占总犯案的百分之几,5
xx地区犯案有几成是团队犯案,5
xx地区团队犯案的比例,5
xx地区的平均量刑时间是多久,6
xx地区的量刑平均是多少,6
xx地区平均量刑,6
xx案件的作案人数,7
一共有多少人参与了xx案件,7
xx案件牵扯到多少人犯案,7
xx案件的最小人员年龄是多少,8
参与xx案件的犯案人员年龄最小是多少,8
xx案件最年轻的犯案人员年龄是多少,8
xx案件的最小人员出生年月是多少,9
xx案件最年轻的犯案人员出生年月是多少,9
xx案件的第一被告是谁,10
xx案件中要承担主要责任的被告是谁,10
xx案件中责任最大的被告是谁,10
xx案子的第一被告判罚结果,11
xx案子的第一被告受到什么处罚,11
xx案子的财产刑金额是多少,12
xx案子最后判罚了多少财产刑金额,12
xx案子卖了什么毒品,13
xx案子涉及的毒品信息,13
列举在xx案子里被贩卖的毒品,13
xx案子涉及到的毒品的信息,13
xx案子卖了的毒品的单价,14
涉及xx案子的毒品单价,14
xx案子牵扯到的毒品的单价,14
