哪些案件与xx有关,0
跟xx有关联的案件,0
xx参与了那些案件,0
xx年xx一共审理了多少案子,1
xx年一共有多少案子在xx被判罚,1
xx年xx审理的案件数量,1
xx出现了多少的xx,2
xx出现了多少数量的xx,2
xx出现xx的总量,2
xx判决xx的均价,3
xx判决xx的平均价格,3
xx的xx平均价格,3
xx未成年犯罪的占比,4
xx的未成年犯案比例,4
xx未成年犯案的比例,4
xx团队犯罪的百分比,5
xx犯案有几成是团队犯案,5
xx团队犯案的比例,5
xx的平均量刑,6
xx的量刑平均时间,6
xx的平均量刑时间,6
xx的作案人数,7
一共有多少人参与了xx,7
xx案件牵扯到多少人,7
xx的最小年龄是多少,8
参与xx案件的犯案人员年龄最小是多少,8
xx案件最年轻的犯案人员年龄是多少,8
xx案件的第一被告是谁,9
xx案件中要承担主要责任的被告是谁,9
xx案件中责任最大的被告是谁,9
xx案子的第一被告判罚结果,10
xx案子的第一被告受到什么处罚,10
xx案子的财产刑金额是多少,11
xx案子最后判罚了多少财产刑金额,11
xx案子卖了什么毒品,12
xx案子涉及的毒品信息,12
列举在xx案子里被贩卖的毒品,12
xx案子涉及到的毒品的信息,12
xx案子卖了的毒品的单价,13
涉及xx案子的毒品单价,13
xx案子牵扯到的毒品的单价,13
