哪些案件与xx有关,0
跟xx有关联的案件,0
xx参与了那些案件,0
xx年xx一共审理了多少案子,0
xx年一共有多少案子在xx被判罚,0
xx年xx审理的案件数量,0
xx出现了多少的xx,0
xx出现了多少数量的xx,0
xx出现xx的总量,0
xx判决xx的均价,0
xx判决xx的平均价格,0
xx的xx平均价格,0
xx青年人犯罪的占比,0
xx的青年人犯案比例,0
xx青年人犯案的比例,0
xx团队犯罪的百分比,0
xx犯案有几成是团队犯案,0
xx团队犯案的比例,0
xx的平均量刑,0
xx的量刑平均时间,0
xx的平均量刑时间,0
xx的作案人数,1
有多少人参与了xx,1
xx的涉案人员,1
xx的最小年龄是多少,1
参与xx的犯案人员的最小年龄,1
xx最年轻的犯案人员年龄是多少,1
xx的第一被告,1
xx的第一被告是谁,1
xx中责任最大的被告是谁,1
xx的第一被告判罚结果,1
xx的第一被告受到什么处罚,1
xx的财产刑金额是多少,1
xx判罚了多少财产刑金额,1
xx出现了什么毒品,1
xx涉及的毒品信息,1
列举在xx里出现的毒品,1
xx出现的毒品的单价,1
xx中毒品的单价,1
xx里毒品的单价,1
